year,edges_in_year,cumulative_edges,cumulative_ratio
2000,30,30,0.0089632506722438
2007,1,31,0.009262025694651926
2009,1,32,0.009560800717060053
2010,1,33,0.00985957573946818
2011,1,34,0.010158350761876307
2012,1,35,0.010457125784284434
2013,4,39,0.011652225873916941
2014,2,41,0.012249775918733195
2015,34,75,0.0224081266806095
2016,33,108,0.03226770242007768
2017,52,160,0.04780400358530027
2018,157,317,0.09471168210337616
2019,75,392,0.11711980878398566
2020,248,640,0.19121601434120108
2021,405,1045,0.3122198984164924
2022,402,1447,0.4323274574245593
2023,399,1846,0.5515386913654019
2024,567,2413,0.7209441290708096
2025,806,3219,0.9617567971317598
2026,128,3347,1.0
