model,hidden_channels,regularization_weight,validation_auc_mean,validation_auc_std
rotate,16,0.001,0.6002405276730808,0.0016985717119618604
rotate,16,0.01,0.5977732592739536,0.0029508034120214743
rotate,16,0.03,0.5923923824637969,0.0031491767506447443
rotate,32,0.001,0.6086341995635787,0.0
rotate,32,0.01,0.6039848244395953,0.0009546716921245979
rotate,32,0.03,0.5969797659194604,0.0011158500297560048
rotate,64,0.001,0.5959631025590162,0.00433941678238442
rotate,64,0.01,0.6013315810355089,0.004550188454671644
rotate,64,0.03,0.5862924023011308,0.005901606824042838
complex,16,0.001,0.5971285459234279,0.004116246776433241
complex,16,0.01,0.5841722872445944,0.008765621900416631
complex,16,0.03,0.6066752628446737,0.0028268200753818196
complex,32,0.001,0.5881893473517159,0.00494693513191824
complex,32,0.01,0.5922188057925015,0.015993850426502698
complex,32,0.03,0.616073199761952,0.007810950208291978
complex,64,0.001,0.5759769886927197,0.003372346756595923
complex,64,0.01,0.604617139456457,0.00535608014282879
complex,64,0.03,0.606303312834755,0.012224756992660124
